model,partition,subtask,score_mod,nll,accuracy,abs_error,prop_best,worst,best,aarons_metric
f,a,b,0.906404727679284,0.78292,0.66244,,0.98264,0.54894,0.6741600000000001,0.89864
f,p,b,0.9208023517205598,0.7862,0.65876,,0.98636,0.55226,0.6679200000000001,0.9267
f,r,b,0.9339779926642211,0.78084,0.6646799999999999,,0.98824,0.55264,0.6726,0.9338
f,s,b,0.8039702233250617,0.8080400000000001,0.65298,,0.9627800000000001,0.5492999999999999,0.6782600000000001,0.65682
i,a,a,-0.8896811249752418,1.16996,0.4591,,0.70684,0.54894,0.64992,-0.91066
i,a,b,0.7376220949814755,0.8161400000000001,0.63654,,0.95364,0.54894,0.6677,0.70756
i,p,a,1.248338162604397,0.69496,0.6987399999999999,,1.0438,0.55226,0.6696,1.25666
i,p,b,0.9058986334544197,0.7903800000000001,0.657,,0.98378,0.55226,0.66788,0.91066
i,r,a,1.2317677198975219,0.70052,0.6968799999999999,,1.0405200000000001,0.55264,0.6697400000000001,1.2321
i,r,b,0.8622379986477359,0.7996,0.65466,,0.9757,0.55264,0.6709599999999999,0.86272
i,s,a,1.0705433746425166,0.73424,0.6840599999999999,,1.0136,0.5492999999999999,0.6751799999999999,1.60446
i,s,b,0.8623177042496472,0.8120200000000001,0.65928,,0.9738199999999999,0.5492999999999999,0.67684,0.5614999999999999
s,a,a,-0.8577154308617242,1.10138,0.3949,,0.5398999999999999,0.54898,0.7286199999999999,-1.7260800000000003
s,a,b,0.25162060730126207,0.8827999999999999,0.57848,,0.8671999999999999,0.54898,0.66622,0.26378
s,p,a,0.9973642593568796,0.7505,0.66578,,0.9997200000000002,0.55226,0.66608,1.0058399999999998
s,p,b,0.27277533039647556,0.8913,0.58322,,0.8761800000000001,0.55226,0.66576,0.27888
s,r,a,0.8941499399553962,0.76084,0.65688,,0.9815799999999999,0.55264,0.6692199999999999,0.8942
s,r,b,0.024449877750610357,0.8963599999999999,0.5556399999999999,,0.8228199999999999,0.55264,0.67534,0.024780000000000003
s,s,a,0.6146803726309027,0.82258,0.62584,,0.9282,0.5492999999999999,0.67382,0.6132799999999999
s,s,b,0.02562384860157476,0.9218,0.55236,,0.82914,0.5492999999999999,0.6687200000000001,0.13096000000000002
